Direction and Energies,,,,,,,,,
X-axis ,,Y-axis,,inter-layer height ,,Energies (Hartree),,Relative energy (eV),
0.2,,5.7,,3.26,,-213.2889287,,0.317570099,
0.2,,5.8,,3.27,,-213.2886193,,0.325991211,
0.2,,5.9,,3.26,,-213.2884022,,0.331899078,
0.2,,6,,3.27,,-213.2882351,,0.336445287,
0.2,,6.1,,3.26,,-213.2881371,,0.339111732,
0.2,,6.2,,3.27,,-213.2881175,,0.339643715,
0.2,,6.3,,3.26,,-213.2881404,,0.339020574,
0.2,,6.4,,3.26,,-213.2882258,,0.336698081,
0.2,,6.5,,3.27,,-213.2883611,,0.333016923,
0.2,,6.6,,3.27,,-213.2885168,,0.328779019,
0.2,,6.7,,3.27,,-213.2886932,,0.323978112,
0.2,,6.8,,3.27,,-213.2888815,,0.318856654,
0.2,,6.9,,3.27,,-213.2890732,,0.313638869,
0.2,,7,,3.25,,-213.2892633,,0.30846707,
0.2,,7.1,,3.25,,-213.2894523,,0.303324387,
0.2,,7.2,,3.25,,-213.2896235,,0.298663347,
0.2,,7.3,,3.25,,-213.2897733,,0.294588712,
0.2,,7.4,,3.25,,-213.2899015,,0.291099394,
0.2,,7.5,,3.25,,-213.2900133,,0.288058248,
0.2,,7.6,,3.25,,-213.2901192,,0.285176016,
0.2,,7.7,,3.25,,-213.2902353,,0.282016773,
0.2,,7.8,,3.25,,-213.2903816,,0.278034656,
0.2,,7.9,,3.25,,-213.2905796,,0.272647888,
0.2,,8,,3.25,,-213.2908487,,0.265324484,
0.3,,0,,3.61,,-213.2701416,,0.828793665,
0.3,,0.1,,3.61,,-213.2703103,,0.824203373,
0.3,,0.2,,3.6,,-213.2707176,,0.813119626,
0.3,,0.3,,3.59,,-213.271346,,0.796020799,
0.3,,0.4,,3.58,,-213.272205,,0.772647022,
0.3,,0.5,,3.56,,-213.2733044,,0.742729993,
0.3,,0.6,,3.53,,-213.2746435,,0.706292296,
0.3,,0.7,,3.51,,-213.2762156,,0.663511893,
0.3,,0.8,,3.48,,-213.278014,,0.614574911,
0.3,,0.9,,3.45,,-213.2800055,,0.560382864,
0.3,,1,,3.42,,-213.2821586,,0.501795087,
0.3,,1.1,,3.39,,-213.2844166,,0.440352834,
0.3,,1.2,,3.36,,-213.2867062,,0.378048797,
0.3,,1.3,,3.33,,-213.2889388,,0.317296625,
0.3,,1.4,,3.29,,-213.2910037,,0.261107805,
0.3,,1.5,,3.28,,-213.2928706,,0.210307387,
0.3,,1.6,,3.26,,-213.2944544,,0.167209427,
0.3,,1.7,,3.24,,-213.2957453,,0.132081687,
0.3,,1.8,,3.23,,-213.2967871,,0.103733122,
0.3,,1.9,,3.23,,-213.2976111,,0.081310656,
0.3,,2,,3.22,,-213.2982479,,0.063983798,
0.3,,2.1,,3.21,,-213.2987443,,0.050474698,
0.3,,2.2,,3.21,,-213.2991484,,0.039479932,
0.3,,2.3,,3.21,,-213.2994655,,0.030850925,
0.3,,2.4,,3.19,,-213.2997308,,0.02363038,
0.3,,2.5,,3.19,,-213.2999512,,0.017632443,
0.3,,2.6,,3.18,,-213.3000969,,0.013669919,
0.3,,2.7,,3.19,,-213.3001765,,0.011502531,
0.3,,2.8,,3.18,,-213.3001893,,0.011153681,
0.3,,2.9,,3.17,,-213.3000922,,0.013795636,
0.3,,3,,3.17,,-213.2998937,,0.019196826,
0.3,,3.1,,3.17,,-213.2995815,,0.02769413,
0.3,,3.2,,3.18,,-213.2991675,,0.038960194,
0.3,,3.3,,3.18,,-213.2986522,,0.052981412,
0.3,,3.4,,3.19,,-213.2980595,,0.069107976,
0.3,,3.5,,3.2,,-213.2974025,,0.08698641,
0.3,,3.6,,3.2,,-213.2967179,,0.105615335,
0.3,,3.7,,3.21,,-213.2960157,,0.12472454,
0.3,,3.8,,3.21,,-213.2953128,,0.143850889,
0.3,,3.9,,3.23,,-213.2946423,,0.162095861,
0.3,,4,,3.23,,-213.2940221,,0.178972371,
0.3,,4.1,,3.23,,-213.2934439,,0.194707363,
0.3,,4.2,,3.23,,-213.2929224,,0.208896203,
0.3,,4.3,,3.24,,-213.2924965,,0.220486627,
0.3,,4.4,,3.24,,-213.2921246,,0.230606003,
0.3,,4.5,,3.25,,-213.2918246,,0.238769423,
0.3,,4.6,,3.25,,-213.2915844,,0.245305601,
0.3,,4.7,,3.25,,-213.2913909,,0.250571551,
0.3,,4.8,,3.24,,-213.2912315,,0.254907688,
0.3,,4.9,,3.24,,-213.2910841,,0.258920008,
0.3,,5,,3.25,,-213.2909159,,0.263496694,
0.3,,5.1,,3.25,,-213.2907336,,0.268456788,
0.3,,5.2,,3.24,,-213.2905327,,0.273924919,
